unlocode,name,city,iso,lat,lng
ATRAD,Radstadt,,AT,47.383330,13.450000
ATREG,Regau,,AT,48.083330,14.133330
ATRHN,Ranshofen,,AT,48.233330,13.000000
ATRHR,Rohrau,,AT,48.066670,16.850000
ATRRF,Ruhrsdorf,,AT,48.400000,15.500000
ATRTV,Gallbrunn,,AT,47.387536,15.672099
ATSAG,Schutzen am Gebirge,,AT,47.850000,16.616670
ATSAK,Sankt Aegidi,,AT,48.483330,13.750000
ATSFT,Senftenberg,,AT,48.433330,15.550000
ATSGS,Sankt Georgen bei Salzburg,,AT,47.983330,12.883330
ATSK3,Sankt Margrethen,,AT,46.633330,14.383330
ATSMK,Schönau im Mühlkreis,,AT,48.383330,14.733330
ATSMR,Sankt Margarethen an der Raab,,AT,47.050000,15.750000
ATSPG,Spannberg,,AT,48.450000,16.733330
ATSPZ,Spitz,,AT,48.366670,15.416670
ATSSS,Steinberg,,AT,47.483330,16.483330
ATST6,Straden,,AT,46.800000,15.866670
ATSTD,Steeg,,AT,47.242500,10.294444
ATSUH,Sankt Ulrich,,AT,48.600000,16.766670
ATSUS,Steinhaus,,AT,48.116670,14.016670
ATSVM,Sankt Veit im Mühlkreis,,AT,48.466670,14.150000
ATSWH,Gross-Schweinbarth,,AT,48.400000,16.616670
ATSXA,Bernhardsthal,,AT,48.683330,16.866670
ATTAM,Tamsweg,,AT,47.133330,13.800000
ATTEN,Hausmannstatten,,AT,46.983330,15.500000
ATTFS,Terfens,,AT,47.316670,11.650000
ATTHS,Theiss,,AT,48.383330,15.683330
ATTKP,Taufkirchen an der Pram,,AT,48.416670,13.533330
ATTMR,Traismauer,,AT,48.333330,15.733330
ATTTL,Schrattenthal,,AT,48.700000,15.900000
ATVEL,Velden,,AT,46.616670,14.050000
ATWDF,Weitendorf,,AT,46.883330,15.466670
ATWEU,Weinburg,,AT,48.100000,15.516670
ATWSE,Wallsee,,AT,48.166670,14.716670
ATWUL,Wulkaprodersdorf,,AT,47.800000,16.500000
ATXAE,Oehling,,AT,48.100000,14.800000
ATZIN,Inzersdorf an der Traisen,,AT,48.316670,15.666670
ATZLF,Jetzelsdorf,,AT,48.700000,16.050000
ATZNG,Zobing,,AT,48.483330,15.683330
ATZRF,Ketzelsdorf,,AT,48.650000,16.650000
AU5CI,Selby,,AU,-37.916670,145.383330
AUABP,Abbot Point,,AU,-19.900000,148.083330
AUADL,Adelaide,,AU,-34.916670,138.583330
AUAGS,Augusta,,AU,-34.316670,115.166670
AUAIR,Airlie Terminal,,AU,-21.333330,115.166670
AUALD,Aldgate,,AU,-35.016670,138.733330
AUALH,Albany,,AU,-35.024782,117.883608
AUALI,Australind,,AU,-33.283330,115.716670
AUALP,Abell Point,,AU,-20.266670,148.716670
AUAMR,Amrun,,AU,-12.916670,141.616670
